Cluster,Best_Match,Current_Count,Match_Count,Hypothetical_New_Count,Method_Used
383,79,1,6,7,Pearson correlation
384,58,2,15,17,Pearson correlation
385,0,1,1060,1061,Pearson correlation
388,0,2,1060,1062,Pearson correlation
390,0,1,1060,1061,Pearson correlation
392,0,1,1060,1061,Pearson correlation
104,100,4,6,10,Pearson correlation
394,79,1,6,7,Pearson correlation
395,80,1,44,45,Pearson correlation
396,0,2,1060,1062,Pearson correlation
397,48,2,73,75,Pearson correlation
398,100,1,6,7,Pearson correlation
403,79,1,6,7,Pearson correlation
404,48,2,73,75,Pearson correlation
406,48,1,73,74,Pearson correlation
407,58,2,15,17,Pearson correlation
222,80,2,44,46,Pearson correlation
409,0,1,1060,1061,Pearson correlation
410,0,1,1060,1061,Pearson correlation
114,9,4,227,231,Pearson correlation
411,58,1,15,16,Pearson correlation
412,80,2,44,46,Pearson correlation
415,295,1,3,4,Pearson correlation
225,20,4,28,32,Pearson correlation
226,80,3,44,47,Pearson correlation
419,9,1,227,228,Pearson correlation
423,9,1,227,228,Pearson correlation
424,21,1,58,59,Pearson correlation
425,21,2,58,60,Pearson correlation
427,268,2,2,4,Pearson correlation
428,48,1,73,74,Pearson correlation
429,9,1,227,228,Pearson correlation
431,48,1,73,74,Pearson correlation
435,295,1,3,4,Pearson correlation
436,80,1,44,45,Pearson correlation
438,48,1,73,74,Pearson correlation
439,48,2,73,75,Pearson correlation
440,48,1,73,74,Pearson correlation
442,9,1,227,228,Pearson correlation
151,100,3,6,9,Pearson correlation
446,81,1,12,13,Pearson correlation
447,80,1,44,45,Pearson correlation
448,80,1,44,45,Pearson correlation
452,81,2,12,14,Pearson correlation
453,268,1,2,3,Pearson correlation
183,21,4,58,62,Pearson correlation
455,268,1,2,3,Pearson correlation
456,830,1,1,2,distance
457,80,2,44,46,Pearson correlation
458,0,1,1060,1061,Pearson correlation
459,58,1,15,16,Pearson correlation
462,0,1,1060,1061,Pearson correlation
464,81,1,12,13,Pearson correlation
465,9,3,227,230,Pearson correlation
467,268,2,2,4,Pearson correlation
468,811,1,1,2,Pearson correlation
469,79,1,6,7,Pearson correlation
238,338,2,2,4,Pearson correlation
240,58,2,15,17,Pearson correlation
473,9,1,227,228,Pearson correlation
121,79,4,6,10,Pearson correlation
474,0,2,1060,1062,Pearson correlation
475,58,1,15,16,Pearson correlation
477,81,1,12,13,Pearson correlation
479,81,1,12,13,Pearson correlation
482,58,1,15,16,Pearson correlation
483,21,1,58,59,Pearson correlation
484,494,1,1,2,Pearson correlation
486,268,1,2,3,Pearson correlation
487,48,2,73,75,Pearson correlation
489,238,2,2,4,Pearson correlation
491,81,1,12,13,Pearson correlation
492,80,1,44,45,Pearson correlation
372,9,3,227,230,Pearson correlation
494,484,1,1,2,Pearson correlation
495,81,1,12,13,Pearson correlation
496,20,1,28,29,Pearson correlation
497,238,1,2,3,Pearson correlation
498,21,1,58,59,Pearson correlation
499,9,1,227,228,Pearson correlation
500,80,1,44,45,Pearson correlation
502,81,1,12,13,Pearson correlation
249,80,2,44,46,Pearson correlation
504,48,1,73,74,Pearson correlation
