Prob,State Index,Pk,Vector
0.0272934040940106,0,0,[4 5 5 4 5 5 5]
0.0246398786959818,1,0,[4 5 5 4 5 4 5]
0.0197119029567854,2,0,[4 5 5 4 5 5 6]
0.013267626990144,3,0,[4 5 5 4 5 4 4]
0.0121304018195603,4,0,[4 5 5 4 5 4 6]
0.0113722517058378,5,0,[4 5 5 4 5 5 4]
0.010235026535254,6,0,[4 5 5 4 6 5 6]
0.010235026535254,7,0,[5 5 5 4 5 4 5]
0.0090978013646702,8,0,[5 5 5 4 5 5 5]
0.0087187263078089,9,9,[5 3 5 7 5 5 5]
0.0068233510235027,10,0,[4 4 5 4 5 4 5]
0.0068233510235027,11,0,[4 5 5 4 5 6 6]
0.0060652009097801,12,0,[5 5 5 4 5 5 4]
0.0060652009097801,13,0,[4 5 5 4 5 6 5]
0.0056861258529189,14,0,[5 5 5 4 5 4 4]
0.0053070507960576,15,15,[7 5 5 4 4 5 5]
0.0053070507960576,16,0,[4 5 5 4 4 4 5]
0.0053070507960576,17,9,[5 3 5 7 5 5 6]
0.0053070507960576,18,0,[4 5 5 4 6 5 5]
0.0053070507960576,19,9,[5 3 5 7 5 5 4]
0.0049279757391964,20,20,[4 4 5 4 5 3 4]
0.0049279757391964,21,21,[7 5 5 5 5 5 5]
0.0049279757391964,22,0,[4 5 5 4 5 5 7]
0.0049279757391964,23,15,[7 5 5 4 4 5 6]
0.0049279757391964,24,0,[5 5 5 4 5 5 6]
0.0045489006823351,25,0,[4 5 5 4 6 6 6]
0.0045489006823351,26,0,[5 5 5 4 6 5 5]
0.0045489006823351,27,0,[4 5 5 4 4 5 5]
0.0045489006823351,28,0,[4 4 5 4 5 4 4]
0.0045489006823351,29,0,[4 5 5 4 5 3 5]
0.0045489006823351,30,0,[4 5 5 4 5 6 7]
0.0045489006823351,31,0,[4 4 5 4 5 4 6]
0.0041698256254738,32,0,[4 5 5 4 4 4 4]
0.0041698256254738,33,0,[5 5 5 4 5 6 5]
0.0037907505686126,34,0,[5 4 5 4 5 4 4]
0.0037907505686126,35,0,[4 5 5 4 6 5 7]
0.0037907505686126,36,0,[5 5 5 4 6 6 6]
0.0037907505686126,37,0,[4 5 5 4 4 5 4]
0.0037907505686126,38,0,[4 5 5 4 5 4 7]
0.0034116755117513,39,0,[4 5 5 4 5 6 4]
0.0034116755117513,40,0,[4 4 5 4 4 4 5]
0.0034116755117513,41,0,[5 5 5 4 6 5 6]
0.0034116755117513,42,0,[4 5 5 4 6 4 6]
0.0034116755117513,43,43,[4 6 5 5 5 8 4]
0.0034116755117513,44,0,[5 5 5 4 6 6 5]
0.0034116755117513,45,15,[7 5 5 4 4 4 5]
0.0034116755117513,46,0,[4 4 5 4 5 5 5]
0.0030326004548901,47,15,[7 5 5 4 5 5 5]
0.0030326004548901,48,48,[6 5 5 5 8 5 5]
0.0030326004548901,49,49,[4 8 5 7 5 4 6]
0.0030326004548901,50,15,[7 5 5 5 4 5 5]
0.0030326004548901,51,0,[4 5 5 4 4 6 4]
0.0030326004548901,52,43,[4 6 5 5 5 8 5]
0.0030326004548901,53,0,[4 5 5 4 4 5 6]
0.0026535253980288,54,9,[5 3 5 7 5 4 5]
0.0026535253980288,55,9,[5 3 5 7 5 4 4]
0.0026535253980288,56,43,[4 6 5 5 5 7 4]
0.0026535253980288,57,0,[5 5 5 4 4 5 5]
0.0026535253980288,58,58,[7 5 5 5 3 5 4]
0.0026535253980288,59,43,[4 6 5 5 5 7 5]
0.0026535253980288,60,0,[4 5 5 4 5 3 4]
0.0026535253980288,61,15,[7 5 5 5 4 6 5]
0.0026535253980288,62,15,[7 5 5 4 4 4 4]
0.0022744503411676,63,15,[7 5 5 4 5 4 4]
