Pk,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-5.5562253,-0.25771812,0.1867864,-2.8000963,0.050726466,-0.010704311,-0.5603624,-3.0717888,-2.9450476,-1.9468242,0.11899747,0.16182655,2.2407317,0.2242035,-1.906861,-1.3983085,0.8637912,0.70234656,-3.2130234,0.7158763,-3.5163224,-0.9965451,0.037941687,-1.5060302,-3.1454637,-0.083306715,-1.8275657,-1.7958307,0.9659351,0.77698123,-0.8165602,-2.1587229,-0.36123574,0.49552816,-0.6953971,-2.4242814,-0.842921,1.9852048,1.377981,-1.5725118,0.30382165,-0.6128911,0.7861528,0.21162444,2.2573512,-2.3560154,-0.34144217,-0.33909583,1.4829104,1.8978894
1016,-7.2095366,-7.4819775,-0.16273957,8.018522,-3.0066168,-0.11805279,-2.3892572,-1.0636437,0.6554806,0.6712413,-2.388832,0.8807058,4.7330866,0.65082467,-0.33224,-2.55726,-0.2318866,0.25087008,1.4944584,2.476042,-0.2866752,1.8074973,-2.8170872,-2.3058438,0.68902475,-0.80856764,-0.1643315,-1.8273877,1.9434868,0.32650614,1.4424639,-2.8167064,0.8801327,0.5893454,3.101046,-0.6139783,-0.8184098,0.8842064,-2.6606646,0.30575818,0.6767146,1.0285438,-0.2404375,2.3966875,-1.0406069,-2.2152522,0.43333402,-1.9783415,-1.55742,-1.4960984
0,-2.6944296,1.5836636,0.6631265,-2.2056456,1.7890236,1.9501463,2.0704982,-1.6064054,-0.9113244,-1.386201,-1.8055956,0.31374407,1.392907,-0.01916619,-3.2547698,0.92879885,1.8392752,-1.6531861,0.92031854,2.0389373,-0.3654587,-2.4187434,-0.37615427,0.09683002,-0.34159902,0.13004452,3.899498,-0.23281282,0.6249319,-0.96168095,-1.6052169,1.3464942,-2.151024,0.3731167,0.48084828,1.9097986,-2.0432553,-2.623332,0.9496012,-0.48650697,-0.9004827,0.38183975,0.508998,-1.6401911,-0.27118808,-2.0211709,-1.8155469,0.5432034,-0.54510635,-4.3395653
80,10.143292,1.3685251,-1.2098188,0.70006484,2.9061713,0.036242567,-1.2728636,0.3874478,-0.8583742,0.004126002,-2.361644,-0.9092548,1.2348181,-1.2675554,1.4174856,-0.03804788,1.3581166,0.8636217,-0.62194777,0.95357805,-2.0325909,0.8065219,0.6702175,0.53191453,-2.2799203,-0.41957334,1.0545385,0.8900801,-1.7305024,1.4919223,-1.6347977,-0.7607864,0.18498386,0.19370723,0.8012755,-0.39522696,-2.5951986,-0.7653416,0.3524607,-1.0583208,0.26822343,0.9304003,1.8133897,-1.3739733,1.6401958,0.3717411,0.09457667,2.2025506,1.7977238,-0.1760366
425,1.112835,8.152793,-1.3323367,4.252488,-1.9631939,-5.671656,-0.3724247,0.13614032,0.81277025,-0.105267264,-0.13008669,0.8663587,3.8696492,1.3338263,-1.4622462,-0.2138166,-0.033570636,-2.1510677,2.2967887,-0.89272827,-0.21995983,-4.391747,1.1423047,0.45615914,-0.45173723,-0.4277605,1.0422652,-0.49252003,2.117241,-3.1572852,2.1082802,0.52962124,3.045236,-1.6505287,-2.040993,2.6809897,1.7509116,-3.1494658,-1.464853,-0.5947549,1.2805519,-1.4232363,1.1362078,1.2266536,-0.44981235,0.6957158,2.1791642,-0.44108862,-4.9580364,-0.7043062
79,-1.4440517,-1.94383,-0.7239838,-2.2735426,-1.7378958,0.6491917,1.5468014,1.3651915,-0.48695272,-0.14655337,-1.3894601,1.0299993,1.7884815,0.21624407,-1.1056454,0.33878008,-1.0707872,1.1735886,0.47441104,1.3088627,1.2013513,-0.054569915,4.535641,-2.44724,-0.7147952,0.10025292,-1.0760607,-4.833888,-6.0375543,-0.07554234,-4.870574,2.853781,0.33472955,0.46976885,-4.1158214,-2.805165,-1.2586895,-0.6033976,-1.0455374,-0.7271414,-1.7811965,-3.315742,4.37719,3.3131347,0.0019027627,-1.1739917,-2.0013995,-0.28001934,-0.79863626,-3.5386062
0,-5.3831406,2.2180493,0.14232473,-1.7770311,-1.5681953,0.7988955,-1.7774687,0.21303686,0.53873044,-0.5409187,0.503266,1.0631274,-2.2943568,1.2502798,-0.847889,-0.06927725,0.5443652,-2.170082,-0.3596512,1.042316,1.43088,-2.3740065,-0.4636637,0.7318792,3.520565,-0.29975513,3.4618547,3.5395305,0.9026619,-1.3949668,-0.7145703,0.95206416,0.9723874,0.6329611,-2.6017966,0.78367144,1.342578,1.2890011,-0.1752322,0.704349,0.62713665,0.5324729,-1.0048825,-1.3698677,-0.17827699,1.143955,-0.3689885,1.7142979,-2.617425,-1.468205
43,-5.054608,2.7576716,0.763026,-1.6328325,1.1112193,3.6521037,-0.16020934,-0.36489582,-1.0844347,0.60468966,0.8542167,-0.51085263,1.5929736,-0.44810244,-1.5511545,4.0583873,1.6191704,-1.2598916,1.8130789,0.5060029,0.8682914,-5.3153462,-2.178232,-0.7855601,0.15171303,-0.41537127,-2.0175085,2.412861,2.5464354,1.7200426,1.522633,-0.17368478,0.69975185,1.7308241,-1.6289508,-0.70356315,-2.6390588,0.68205076,0.73033285,1.7314718,-2.423405,0.8955872,1.4869041,-0.7836967,-0.50580406,-0.8592627,0.32750407,2.2773626,-2.6972828,-3.393709
988,-0.99556804,0.23817341,-0.6284477,0.71213675,0.6640738,2.4827602,-4.308069,-2.1897297,-0.400713,-2.4462013,-1.0314441,0.65559006,-0.4173157,-2.769156,-0.94086754,-1.9711003,1.368026,-1.9730554,-0.65835553,0.837429,-0.89540553,-0.20781808,1.6456442,-0.29467225,-1.0197898,0.70017266,-2.2869227,1.2234528,-2.4042697,-1.3039591,-0.01639292,0.33347014,1.0915953,-2.0077379,-1.4176766,-0.5101212,-2.313551,0.108776756,1.3688701,-0.031183437,0.8839546,-0.38604042,0.2618862,-1.345652,0.573606,0.051244542,-0.14980562,0.9714485,2.1717687,2.1227357
48,7.003577,0.18919447,0.23943047,-2.0080814,5.061866,-1.9156654,-2.1887674,1.5392529,-2.05653,-1.436413,1.9245201,1.4869382,-0.2525331,-1.6324047,-0.9486078,1.0545256,0.01290581,1.049912,1.4466786,1.3739929,-0.27730504,2.3267581,-0.49192125,-1.1405369,-1.3580201,-0.16450286,-0.10104852,1.8589783,-0.98316646,-0.26064956,1.3885058,-0.22408882,1.7569216,0.27687082,-0.313879,1.0054504,0.49675718,-0.17996435,0.61369884,-0.33760253,1.30322,-0.0923262,1.2125885,1.1209105,-0.3354755,3.964788,-0.7040343,-1.203313,-1.224736,1.0236946
